date,open,high,low,close,volume,amount
2026-01-06,73.5866,75.8478,72.9476,74.2257,54590686.0,4139696407.0
2026-01-07,74.2257,74.5206,71.2763,72.5052,41694040.0,3069862632.0
2026-01-08,72.5052,72.5052,69.5558,70.6864,35450887.0,2539845754.0
2026-01-09,70.0474,74.1765,70.0474,73.4392,39815626.0,2958616591.0
2026-01-12,74.5206,79.2887,74.5206,78.8955,84959451.0,6691150896.0
2026-01-13,80.1735,82.7297,76.2902,77.1259,64443100.0,5161552746.0
2026-01-14,78.6497,82.4839,78.2073,80.5668,71249443.0,5842325234.0
2026-01-15,80.5668,80.7634,76.9784,78.2073,36872005.0,2946790367.0
2026-01-16,79.4854,79.7803,76.0444,77.0276,37472974.0,2934089181.0
2026-01-19,75.8478,76.5852,74.7172,75.4546,24646651.0,1887070460.0
2026-01-20,75.2579,76.2902,73.9799,74.7664,21277879.0,1621283514.0
2026-01-21,73.9307,78.748,73.4883,77.47,34754820.0,2705136525.0
2026-01-22,78.6989,79.2887,76.5852,77.7649,30687098.0,2419455988.0
2026-01-23,78.748,80.0752,77.4208,79.8786,37445685.0,3012629973.0
2026-01-26,79.8786,80.1244,76.1919,77.2733,33355337.0,2612228873.0
2026-01-27,77.6666,78.3056,76.4868,77.47,19079456.0,1503757704.0
